Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
DENA;Denges A (bif);DEN;Denges-Echandens;164;8.26747;Lecheires - Denges A;SBB CFF;2531193.53;1153533.643;1153533.64114,2531193.53051;8515322;15322;Denges A (bif);http://lod.opentransportdata.swiss/didok/8515322
DK;Daniken;DK;Daniken;540;45.67343;Olten - Woschnau;SBB CFF;2640808.396;1245200.366;1245200.37116,2640808.40058;8502111;2111;Däniken;http://lod.opentransportdata.swiss/didok/8502111
DOPP;Doppleschwand-Romoos;DOPP;Doppleschwand-Romoos;460;70.4639;Gumligen Sud - Fluhmuhle;SBB CFF;2647815.154;1208771.059;1208771.06114,2647815.1506;8508214;8214;Doppleschwand-Romoos;http://lod.opentransportdata.swiss/didok/8508214
DORF;Dorfnest (Abzw);DORF;Dorfnest (Abzw);752;13.37408;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB CFF;2688318.739;1255390.319;1255390.32114,2688318.74062;8503337;3337;Dorfnest (Abzw);http://lod.opentransportdata.swiss/didok/8503337
DOSS;Dossenboden (Spw);DOSS;Dossenboden (Spw);700;65.10639;Brugg - Pratteln Ost;SBB CFF;2632696.693;1268097.399;1268097.40116,2632696.69057;8500343;343;Dossenboden (Spw);http://lod.opentransportdata.swiss/didok/8500343
DSB;Diesbach-Betschwanden;DSB;Diesbach-Betschwanden;736;81.25597;Ziegelbrucke Ost - Linthal Gleisende;SBB CFF;2720718.866;1200674.389;1200674.39111,2720718.87066;8503237;3237;Diesbach-Betschwanden;http://lod.opentransportdata.swiss/didok/8503237
DT;Dietikon;DT;Dietikon;710;11.06546;Zurich HB - Brugg AG;SBB CFF;2672940.474;1251000.631;1251000.63114,2672940.47061;8503508;3508;Dietikon;http://lod.opentransportdata.swiss/didok/8503508
DTL;Dietlikon;DTL;Dietlikon;751;11.04929;ZH Langstr. - Wallisellen - Winterthur;SBB CFF;2689089.576;1252824.783;1252824.78114,2689089.58062;8503306;3306;Dietlikon;http://lod.opentransportdata.swiss/didok/8503306
DU;Dulliken;DU;Dulliken;540;42.94104;Olten - Woschnau;SBB CFF;2638371.93;1244949.074;1244949.07115,2638371.93058;8502110;2110;Dulliken;http://lod.opentransportdata.swiss/didok/8502110
EBI;Ebikon;EBI;Ebikon;660;58.58004;Thalwil - Zug - Fluhmuhle;SBB CFF;2668625.013;1215200.577;1215200.58114,2668625.01062;8502200;2200;Ebikon;http://lod.opentransportdata.swiss/didok/8502200
EBR;Emmenbrucke;EBR;Emmenbrucke;500;90.18571;Basel SBB - Olten - Luzern;SBB CFF;2664101.123;1213631.351;1213631.35114,2664101.12061;8502021;2021;Emmenbrücke;http://lod.opentransportdata.swiss/didok/8502021
EMM;Emmenmatt;EMM;Emmenmatt;460;34.09164;Gumligen Sud - Fluhmuhle;SBB CFF;2623498.445;1199720.386;1199720.39114,2623498.45058;8508206;8206;Emmenmatt;http://lod.opentransportdata.swiss/didok/8508206
EPS;Epesses;EPS;Epesses;100;9.97763;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2546755.241;1148904.103;1148904.10113,2546755.24053;8501125;1125;Epesses;http://lod.opentransportdata.swiss/didok/8501125
ERL;Erlen;ERL;Erlen;840;69.7048;Winterthur Nord - Romanshorn;SBB CFF;2734547.856;1268281.411;1268281.41113,2734547.86065;8506107;6107;Erlen;http://lod.opentransportdata.swiss/didok/8506107
ERNA;Erstfeld Nord (Abzw);ER;Erstfeld;601;40.9214;Rynacht -  Erstfeld Nord Gleis links;SBB CFF;2692249.255;1186817.354;1186817.35111,2692249.25064;8516699;16699;Erstfeld Nord (Abzw);http://lod.opentransportdata.swiss/didok/8516699
EZ;Eschenz;EZ;Eschenz;822;36.92798;Etzwilen - Konstanz;SBB CFF;2708042.903;1278185.195;1278185.20114,2708042.90063;8506138;6138;Eschenz;http://lod.opentransportdata.swiss/didok/8506138
FG;Faoug;FG;Faoug;251;72.80486;Palezieux Est - Lyss Nord;SBB CFF;2572265.71;1195302.079;1195302.08115,2572265.71054;8504127;4127;Faoug;http://lod.opentransportdata.swiss/didok/8504127
FI;Fischenthal;FI;Fischenthal;754;32.33724;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2712210.635;1243554.494;1243554.49113,2712210.64064;8503136;3136;Fischenthal;http://lod.opentransportdata.swiss/didok/8503136
FILD;Filderen (Agl);FILD;Filderen (Agl);711;16.39143;ZH Hardbrucke - Kollermuhle;SBB CFF;2677532.595;1243814.29;1243814.29114,2677532.59061;8502307;2307;Filderen (Agl);http://lod.opentransportdata.swiss/didok/8502307
FRAE;Fraschels;FRAE;Fraschels;251;87.67316;Palezieux Est - Lyss Nord;SBB CFF;2582309.615;1205367.49;1205367.49115,2582309.61055;8504401;4401;Fräschels;http://lod.opentransportdata.swiss/didok/8504401
FREU;Freudenberg;FREU;Freudenberg;9668;46.898;"Projekt Alptransit Spange Rotkreuz""""";SBB CFF;2676881.7664;1222705.8451;1222705.84114,2676881.77062;8517107;17107;Freudenberg;http://lod.opentransportdata.swiss/didok/8517107
FRIN;Frinvillier-Taubenloch;FRIN;Frinvillier-Taubenloch;225;39.11025;Biel/Bienne West - La Chaux-de-Fonds;SBB CFF;2586269.732;1224293.464;1224293.46116,2586269.73054;8504301;4301;Frinvillier-Taubenloch;http://lod.opentransportdata.swiss/didok/8504301
FSMF;Faido SMF;FSMF;Faido SMF;598;240.34068;Cambiamento binari Faido SMF;SBB CFF;2705320.209;1150534.113;1150534.1111,2705320.21067;8518304;18304;Faido SMF;http://lod.opentransportdata.swiss/didok/8518304
FSMS;Faido SMF Sud;FSMF;Faido SMF;595;140.85971;GBT Ost;SBB CFF;2705642.927;1150107.237;1150107.24109,2705642.93067;8518325;18325;Faido SMF Süd;http://lod.opentransportdata.swiss/didok/8518325
FUBI;Furet (bif);FUBI;Furet (bif);151;62.59316;Geneve St-Jean - La Plaine-Frontiere;SBB CFF;2497887.71;1118340.74;1118340.74113,2497887.71049;8501028;1028;Furet (bif);http://lod.opentransportdata.swiss/didok/8501028
FUBI;Furet (bif);FUBI;Furet (bif);154;0.0;Furet - Jonction;SBB CFF;2497887.71;1118340.74;1118340.74113,2497887.71049;8501028;1028;Furet (bif);http://lod.opentransportdata.swiss/didok/8501028
GA;Gampel-Steg;GA;Gampel-Steg;335;49.94788;Lotschen - Gampel-Steg;SBB CFF;2623800.461;1128392.119;1128392.12111,2623800.4606;8501603;1603;Gampel-Steg;http://lod.opentransportdata.swiss/didok/8501603
GBAL;Gland Ballastiere;GBAL;Gland Ballastiere;149;34.7;Gland Ballastiere;SBB CFF;2509439.272;1141493.197;1141493.20114,2509439.27049;8519356;19356;Gland Ballastière;http://lod.opentransportdata.swiss/didok/8519356
GDNW;Arth-Goldau Nordwest;GD;Arth-Goldau;666;8.87212;Goldau Nord - Goldau Ost;SBB CFF;2684412.861;1211511.327;1211511.33112,2684412.86063;8515396;15396;Arth-Goldau Nordwest;http://lod.opentransportdata.swiss/didok/8515396
GEFB;Geneve faisceau B;GE;Geneve;158;59.6;Geneve Poste 1 - Geneve FB - Geneve;SBB CFF;2500119.507;1119084.35;1119084.35114,2500119.51049;8501010;1010;Genève faisceau B;http://lod.opentransportdata.swiss/didok/8501010
GELN;Gellert Nord (Abzw);GELL;Gellert;520;3.12222;Gellert - Basel Bad DB;SBB CFF;2613296.639;1267360.18;1267360.18117,2613296.64056;8515399;15399;Gellert Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515399
