BPUIC;y_Koord_Ost;x_Koord_Nord
8581151;2594162;1236169
8583376;2594186;1119849
8583283;2594211;1119899
8582711;2594220;1119758
8530140;2609240;1114351
8570771;2594236;1121562
8577978;2594237;1228911
8580046;2594240;1202856
8580097;2594241;1235558
8570827;2594247;1120813
8581148;2594251;1236397
8593309;2594255;1189618
8570741;2594263;1122937
8577975;2594270;1227677
8507743;2594270;1185494
8577954;2594331;1225174
8571463;2594348;1217520
8505268;2716021;1151281
8581147;2594582;1236635
8595618;2595032;1155998
8571990;2595041;1243243
8571991;2595053;1242683
8589085;2595055;1161343
8530267;2595220;1150705
8589227;2595312;1197190
8594691;2596239;1114366
8594108;2596251;1226892
8591757;2596255;1199542
8594137;2596257;1226535
8594141;2596260;1227641
8594112;2596275;1226042
8580436;2565394;1126887
8577943;2596300;1226700
8582554;2596336;1198054
8582553;2596570;1198277
8594690;2596578;1114492
8500363;2596605;1114021
8580404;2596609;1201943
8570831;2597386;1122942
8582210;2597006;1199814
8501965;2597015;1127241
8570895;2597023;1117497
8531282;2597072;1129579
8583258;2597120;1120048
8576485;2597454;1237075
8594106;2597498;1227501
8589213;2597508;1226354
8576484;2597533;1236837
8577963;2597540;1227295
8571477;2597547;1219891
8571697;2597558;1182179
8570795;2597487;1127113
8570834;2596993;1123510
8581035;2583574;1193094
